15	추신수	21SDH	3.89	137	580	461	84	122	19	2	21	208	69	25	9	103	12	4	123	8	0	4	.265	.409	.451	.860	.400	137.4	3.89	4.59
16	강민호	21삼C	3.86	123	462	406	55	118	22	0	18	194	67	0	0	45	4	4	53	18	0	7	.291	.362	.478	.839	.380	123.6	3.86	1.49
17	노시환	21한3B	3.75	107	458	380	56	103	18	1	18	177	84	5	2	73	1	9	107	15	0	4	.271	.387	.466	.852	.387	131.8	3.75	1.82
18	최재훈	21한C	3.67	116	467	375	52	103	21	0	7	145	44	3	2	71	13	2	68	16	5	3	.275	.405	.387	.791	.376	124.6	3.67	1.03
19	안치홍	21롯2B	3.45	119	490	421	58	129	30	2	10	193	82	3	6	52	3	2	58	10	5	9	.306	.379	.458	.838	.382	124.3	3.45	1.55
20	김선빈	21K2B	3.42	130	564	501	55	154	32	0	5	201	67	0	0	56	1	2	39	19	1	5	.307	.375	.401	.776	.366	116.0	3.42	3.06
21	박해민	21삼CF	3.38	127	542	454	78	132	22	1	5	171	54	36	15	69	3	2	82	3	9	7	.291	.383	.377	.759	.356	110.6	3.38	1.39
22	박성한	21SSS	3.34	135	471	407	53	123	21	1	4	158	44	12	5	49	1	0	73	1	12	2	.302	.377	.388	.765	.356	110.3	3.34	1.40
23	손아섭	21롯RF	3.33	139	610	542	88	173	29	2	3	215	58	11	6	61	3	3	67	15	3	1	.319	.390	.397	.787	.373	118.8	3.33	1.98
24	김현수	21LLF	3.31	140	595	506	70	144	23	1	17	220	97	3	0	77	3	5	42	7	0	9	.285	.377	.435	.811	.375	128.3	3.31	3.02
25	한동희	21롯3B	3.28	129	496	424	54	113	24	0	17	188	69	0	1	61	6	1	95	21	1	4	.267	.364	.443	.807	.373	119.0	3.28	0.85
26	피렐라	21삼DH	3.26	140	621	553	102	158	25	2	29	274	97	9	6	57	8	2	89	8	0	3	.286	.359	.495	.855	.389	128.7	3.26	3.27
27	최원준	21KRF	3.14	143	668	589	82	174	21	6	4	219	44	40	13	61	11	0	68	7	4	3	.295	.371	.372	.742	.354	108.6	3.14	1.24
28	양석환	21두1B	3.10	133	546	488	66	133	22	0	28	239	96	2	3	42	9	2	136	10	0	7	.273	.337	.490	.827	.373	130.3	3.10	1.93
29	이용규	21키LF	3.10	133	547	459	88	136	16	8	1	171	43	16	2	71	5	2	46	5	6	6	.296	.392	.373	.764	.363	112.7	3.10	1.73
30	하주석	21한SS	3.09	138	594	525	84	143	27	3	10	206	68	23	6	51	10	1	135	9	5	3	.272	.346	.392	.739	.345	104.4	3.09	-1.37
31 	박동원	21키C	3.09	131	481	413	61	103	21	0	22	190	83	2	0	53	7	0	114	12	5	3	.249	.342	.460	.803	.364	120.5	3.09	1.29
32	페르난	21두DH	3.07	141	617	540	73	170	24	0	15	239	81	0	2	65	6	3	35	25	0	6	.315	.391	.443	.833	.389	136.6	3.07	1.20
33	배정대	21KCF	3.02	144	595	510	85	132	23	1	12	193	68	19	7	65	12	2	132	9	3	5	.259	.353	.378	.732	.345	101.1	3.02	-1.05
34	황재균	21K3B	2.93	117	507	453	74	132	16	2	10	182	56	11	4	46	3	1	92	11	1	4	.291	.358	.402	.760	.356	108.4	2.93	-0.32
35	노진혁	21NSS	2.90	107	384	330	41	95	22	0	8	141	58	1	1	42	5	0	90	3	4	3	.288	.374	.427	.801	.372	120.4	2.90	0.75
36	채은성	21LRF	2.86	110	448	387	59	107	20	0	16	175	82	4	2	38	16	2	80	9	0	7	.276	.359	.452	.812	.373	128.2	2.86	2.60
37	서건창	21키L2B	2.83	144	599	512	78	130	24	2	6	176	52	12	4	69	9	2	77	14	5	4	.254	.350	.344	.694	.331	94.8	2.83	0.14
38	오재일	21삼1B	2.80	120	484	418	64	119	20	0	25	214	97	1	0	58	0	8	106	5	0	8	.285	.366	.512	.878	.390	129.2	2.80	3.43
39	마차도	21롯SS	2.55	134	539	466	83	130	21	1	5	168	58	8	5	58	4	1	65	8	4	7	.279	.359	.361	.719	.341	98.3	2.55	-0.66
40	정훈	21롯1B	2.46	135	561	486	70	142	27	1	14	213	79	8	1	68	3	8	89	6	1	3	.292	.380	.438	.819	.377	121.9	2.46	0.83
41	최주환	21S2B	2.36	116	470	406	50	104	16	0	18	174	67	2	1	53	9	4	84	7	0	2	.256	.353	.429	.782	.361	111.2	2.36	-0.51
42	오지환	21LSS	2.33	134	532	464	62	118	19	2	8	165	57	12	6	54	5	0	82	11	4	5	.254	.335	.356	.691	.327	93.9	2.33	-0.53
43	유강남	21LC	2.20	130	441	397	39	100	16	0	11	149	60	2	0	25	14	1	75	11	3	2	.252	.317	.375	.693	.323	93.3	2.20	-0.94
44	최지훈	21SCF	2.12	136	534	461	75	121	19	6	5	167	45	26	6	51	8	0	71	6	8	6	.262	.342	.362	.705	.330	93.8	2.12	-0.19
45	허경민	21두3B	2.07	136	518	468	61	130	24	1	5	171	59	5	7	36	8	1	35	21	3	3	.278	.338	.365	.703	.332	96.8	2.07	-0.83
46	박계범	21두SS	2.06	118	385	322	44	86	12	1	5	115	46	4	3	44	9	0	68	8	7	3	.267	.368	.357	.725	.344	104.8	2.06	0.60
47	김태연	21한3B	1.91	53	220	176	29	53	12	0	3	74	34	5	3	34	5	0	44	4	0	5	.301	.418	.420	.839	.397	138.8	1.91	1.99
48	유한준	21KDH	1.87	104	336	281	30	87	16	0	5	118	42	1	0	44	7	5	34	12	0	4	.310	.411	.420	.831	.389	130.5	1.87	1.27
49	심우준	21KSS	1.74	139	460	407	61	109	20	2	6	151	48	16	6	32	4	0	65	2	10	6	.268	.323	.371	.694	.318	83.3	1.74	-0.16
50	김인태	21두RF	1.74	133	418	344	51	89	15	1	8	130	46	0	2	62	3	0	67	10	5	4	.259	.373	.378	.751	.355	113.3	1.74	1.54
51	장성우	21KC	1.73	127	460	385	46	89	13	0	14	144	63	1	2	60	3	3	69	16	9	3	.231	.337	.374	.711	.328	90.6	1.73	1.25
52	김성현	21S2B	1.65	110	274	237	27	67	15	0	6	100	37	5	2	29	0	0	29	8	4	4	.283	.356	.422	.778	.357	109.8	1.65	1.24
53	송우현	21키RF	1.51	69	282	250	34	74	17	2	3	104	42	1	1	28	2	1	49	4	1	1	.296	.370	.416	.786	.368	117.4	1.51	0.62
54	이재원	21SC	1.50	107	313	271	29	76	13	0	3	98	30	0	2	29	5	4	47	14	6	2	.280	.358	.362	.720	.334	95.2	1.50	0.18
55	박병호	21키1B	1.47	118	477	409	48	93	23	0	20	176	76	0	1	47	14	3	141	9	0	7	.227	.323	.430	.753	.343	106.4	1.47	0.01
56	정수빈	21두CF	1.47	104	351	313	50	81	19	4	3	117	37	12	7	29	3	1	50	7	4	2	.259	.326	.374	.700	.325	91.6	1.47	-0.07
57	이명기	21NLF	1.38	56	232	191	30	56	12	0	2	74	14	5	3	37	1	0	27	2	3	0	.293	.411	.387	.798	.381	126.6	1.38	1.03
58	권희동	21NLF	1.32	55	171	133	25	35	3	0	8	62	26	2	0	29	5	1	24	4	1	3	.263	.406	.466	.872	.400	136.7	1.32	0.63
59	박석민	21N3B	1.32	59	205	171	27	44	8	0	10	82	41	0	0	27	2	1	43	8	3	2	.257	.361	.480	.841	.377	121.5	1.32	0.01
60	류지혁	21K3B	1.28	92	327	273	37	76	8	0	2	90	34	0	0	42	7	1	46	7	2	3	.278	.385	.330	.714	.348	104.4	1.28	-0.08
61	이원석	21삼3B	1.22	131	480	399	40	92	19	0	9	138	59	1	0	60	11	2	80	11	2	8	.231	.341	.346	.687	.327	89.8	1.22	-0.29
62	박찬호	21KSS	1.15	131	483	418	51	103	15	5	1	131	59	9	4	54	0	0	73	11	8	3	.246	.331	.313	.644	.308	77.7	1.15	0.17
63	김병희	21K3B	1.15	34	69	51	16	15	3	0	5	33	13	3	0	13	3	0	14	0	2	0	.294	.463	.647	1.110	.476	189.8	1.15	1.10
64	김헌곤	21삼LF	1.14	118	364	317	38	89	8	2	4	113	27	5	4	34	5	0	46	9	3	5	.281	.355	.356	.711	.338	98.1	1.14	-1.03
65	로맥	21S1B	1.13	107	421	355	55	80	11	0	20	151	52	1	0	59	4	1	83	9	0	3	.225	.340	.425	.765	.354	105.5	1.13	-0.59
66	이대호	21롯DH	1.10	114	465	420	39	120	11	0	19	188	81	0	0	34	5	3	50	12	0	6	.286	.342	.448	.790	.361	111.3	1.10	1.44
67	문보경	21L1B	1.06	107	329	278	37	64	11	1	8	101	39	3	1	46	0	1	64	5	3	2	.230	.337	.363	.701	.329	97.1	1.06	0.79
68	지시완	21롯C	1.04	73	187	166	23	40	9	0	7	70	26	0	0	14	5	0	54	6	2	0	.241	.319	.422	.741	.340	96.8	1.04	0.01
69	조수행	21두CF	1.01	115	104	84	34	24	2	1	1	31	8	21	4	16	3	0	26	1	1	0	.286	.418	.369	.787	.381	128.1	1.01	0.48
70	강승호	21두2B	0.94	113	340	301	47	72	16	2	7	113	37	8	2	22	6	1	78	8	8	3	.239	.301	.375	.677	.307	81.8	0.94	-0.93
71	송성문 	21키3B	0.94	66	274	245	30	61	10	1	6	91	33	0	0	25	1	0	42	2	2	1	.249	.320	.371	.691	.323	90.2	0.94	0.26
72	이형종	21LDH	0.93	90	281	239	32	52	11	0	10	93	34	3	1	34	7	1	65	10	1	0	.218	.332	.389	.721	.338	104.8	0.93	-2.58
73	안중열	21롯C	0.92	58	157	125	19	29	5	0	3	43	16	0	0	27	1	0	25	1	3	1	.232	.370	.344	.714	.341	98.7	0.92	0.36
74	김지찬	21삼SS	0.90	120	336	296	50	81	6	0	1	90	26	23	4	27	0	0	31	0	10	3	.274	.331	.304	.635	.300	73.4	0.90	0.08
75	김강민	21SCF	0.88	122	260	223	43	53	12	1	8	91	27	3	3	25	6	1	52	3	3	3	.238	.327	.408	.735	.336	95.1	0.88	-0.65
76	김민혁	21KLF	0.87	75	198	171	22	54	6	2	1	67	13	6	3	20	2	0	27	3	5	0	.316	.394	.392	.786	.367	115.7	0.87	0.14
77	김민성	21L3B	0.83	121	426	360	35	80	22	0	8	126	39	3	3	42	8	2	73	7	11	5	.222	.313	.350	.663	.305	80.7	0.83	-0.60
78	박민우	21N2B	0.83	50	215	180	30	47	5	3	1	61	18	12	3	22	7	0	23	4	4	2	.261	.360	.339	.699	.333	94.8	0.83	-0.50
79	터커	21KLF	0.81	127	539	468	42	111	24	1	9	164	59	0	0	61	8	1	66	12	0	2	.237	.334	.350	.684	.327	91.0	0.81	0.02
80	오태곤	21S1B	0.81	122	253	235	47	63	10	0	9	100	35	9	4	14	2	0	52	4	1	1	.268	.314	.426	.739	.339	97.0	0.81	-0.33
81	오윤석	21롯K2B	0.80	98	198	164	23	40	11	0	4	63	16	4	0	27	2	1	47	4	5	0	.244	.358	.384	.742	.343	99.2	0.80	-1.60
82	최정원	21N2B	0.80	72	238	212	40	60	4	2	0	68	8	10	7	18	4	0	40	0	4	0	.283	.350	.321	.671	.322	88.4	0.80	-0.60
83	안재석	21두SS	0.79	96	224	200	28	51	8	2	2	69	14	1	0	16	4	0	53	4	0	4	.255	.317	.345	.662	.314	83.8	0.79	-1.02
84	김웅빈	21키3B	0.78	97	278	231	23	55	13	1	5	85	34	1	1	34	9	2	73	2	2	2	.238	.355	.368	.723	.341	101.6	0.78	0.26
85	이성곤	21삼한1B	0.77	62	208	174	17	46	12	2	1	65	24	1	3	29	3	0	53	4	1	1	.264	.377	.374	.750	.359	113.7	0.77	-0.88
86	호잉	21KRF	0.76	68	294	259	32	62	11	1	11	108	52	5	2	26	4	2	52	2	0	5	.239	.313	.417	.730	.332	93.5	0.76	-0.01
87	김재유	21롯CF	0.76	87	192	174	27	50	8	0	1	61	18	7	0	10	4	0	36	1	4	0	.287	.340	.351	.691	.325	87.4	0.76	0.46
88	김주원	21NSS	0.73	69	189	166	20	40	7	1	5	64	16	6	2	17	2	0	57	5	2	2	.241	.316	.386	.701	.324	87.8	0.73	-0.58
89	페레즈	21한1B	0.69	59	252	225	26	60	15	1	5	92	33	4	5	17	4	0	52	4	0	6	.267	.321	.409	.730	.337	98.6	0.69	-0.50
90	추재현	21롯CF	0.64	95	300	262	37	66	15	0	5	96	26	4	3	26	7	0	57	3	5	0	.252	.336	.366	.702	.329	90.1	0.64	-0.53
91	김태진	21K3B	0.64	99	414	381	43	105	12	5	1	130	36	8	5	23	0	1	64	7	6	4	.276	.314	.341	.655	.305	76.0	0.64	-0.62
92	김태군	21NC	0.63	102	276	232	23	51	7	0	7	79	24	0	1	21	11	0	30	4	9	3	.220	.311	.341	.651	.301	72.8	0.63	-0.39
93	김민식	21KC	0.62	100	301	250	30	55	8	0	3	72	26	0	0	41	4	1	49	2	3	3	.220	.336	.288	.624	.305	75.7	0.62	-0.34
94	이흥련	21SC	0.60	90	146	127	15	30	3	0	3	42	14	0	0	12	5	0	31	4	2	0	.236	.326	.331	.657	.314	80.7	0.60	-0.02
95	한승택	21KC	0.59	82	239	203	17	44	7	0	3	60	16	0	0	28	3	0	61	6	5	0	.217	.321	.296	.616	.297	70.2	0.59	-1.16
96	라모스	21L1B	0.58	51	205	185	14	45	7	1	8	78	25	0	0	18	2	0	43	2	0	0	.243	.317	.422	.739	.341	107.1	0.58	-0.15
97	알몬테	21KLF	0.57	60	249	224	18	61	9	0	7	91	36	1	0	22	1	0	49	9	0	2	.272	.337	.406	.744	.347	102.5	0.57	-0.46
98	장승현	21두C	0.57	92	211	177	18	41	10	0	2	57	27	0	0	19	8	0	50	2	6	1	.232	.332	.322	.654	.310	82.3	0.57	-0.40
99	최용제	21두C	0.54	79	119	104	7	29	3	0	0	32	15	0	0	11	2	0	21	0	1	1	.279	.356	.308	.664	.324	89.2	0.54	0.50
100	송민섭	21KRF	0.46	122	64	47	39	11	0	0	0	11	7	15	1	12	0	0	21	0	5	0	.234	.390	.234	.624	.303	73.1	0.46	0.35
101	전병우	21키3B	0.44	114	260	213	35	40	8	0	6	66	31	3	1	33	9	0	82	0	4	1	.188	.320	.310	.630	.304	78.4	0.44	-0.20
102	박준영	21N3B	0.43	111	315	273	37	57	7	2	8	92	31	4	3	27	10	0	92	9	3	2	.209	.301	.337	.638	.302	73.0	0.43	-2.04
103	정주현	21L2B	0.43	73	214	181	26	43	7	1	3	61	10	3	3	24	0	0	32	4	9	0	.238	.327	.337	.664	.306	79.7	0.43	-0.70
104	권동진	21KSS	0.42	86	85	66	21	17	5	0	1	25	6	3	3	18	0	0	30	0	1	0	.258	.417	.379	.796	.382	124.9	0.42	-0.03
105	김민수	21삼C	0.42	47	87	76	9	20	5	0	3	34	13	0	0	6	1	0	13	2	2	2	.263	.318	.447	.765	.339	96.7	0.42	0.16
106	김찬형	21NS2B	0.41	88	161	132	20	30	7	0	2	43	7	0	0	16	4	0	32	1	9	0	.227	.329	.326	.655	.301	72.6	0.41	0.02
107	이현석	21SC	0.39	39	89	79	7	21	5	0	4	38	19	0	0	4	1	0	29	0	3	2	.266	.302	.481	.783	.338	95.1	0.39	-0.14
108	조용호	21KLF	0.39	138	515	428	71	101	14	1	0	117	48	12	9	74	3	0	85	8	5	5	.236	.349	.273	.622	.310	77.7	0.39	0.21
109	김상수	21삼2B	0.38	132	496	429	46	101	17	1	3	129	42	4	2	52	3	0	51	14	8	4	.235	.320	.301	.620	.298	71.7	0.38	-1.26
110	김준태	21롯KC	0.37	58	149	128	17	25	5	0	4	42	15	0	0	18	1	0	40	3	0	2	.195	.295	.328	.623	.297	69.2	0.37	-0.75
111	김호령	21KCF	0.36	62	154	130	16	27	2	0	4	41	15	4	1	16	6	0	44	2	2	0	.208	.322	.315	.638	.308	77.9	0.36	-0.97
112	이정범	21SLF	0.36	19	66	59	8	15	4	0	3	28	9	0	0	7	0	0	15	1	0	0	.254	.333	.475	.808	.368	115.6	0.36	-0.13
113	힐리	21한1B	0.35	67	268	249	27	64	11	1	7	98	37	2	1	16	2	0	58	6	0	1	.257	.306	.394	.700	.325	91.0	0.35	-0.57
114	이지영	21키C	0.33	108	257	232	29	63	5	1	0	70	30	3	1	19	1	2	17	10	2	3	.272	.326	.302	.627	.299	71.1	0.33	-0.87
115	최영진	21삼3B	0.32	44	63	57	9	16	1	2	1	24	6	1	0	5	1	0	12	1	0	0	.281	.349	.421	.770	.360	114.0	0.32	-0.08
116	노수광	21한CF	0.30	52	180	160	21	37	7	0	3	53	14	13	1	17	1	0	46	1	2	0	.231	.309	.331	.640	.304	76.4	0.30	-0.64
117	크레익	21키1B	0.30	61	247	222	25	55	12	0	6	85	30	0	1	20	4	1	43	4	0	1	.248	.320	.383	.703	.328	93.9	0.30	-0.52
118	김주형	21키SS	0.30	36	70	50	5	9	3	0	0	12	5	1	0	4	13	0	15	0	3	0	.180	.388	.240	.628	.324	86.2	0.30	0.13
119	김성표	21삼CF	0.29	39	24	18	10	6	0	0	0	6	1	2	1	5	0	0	7	0	1	0	.333	.478	.333	.812	.393	136.4	0.29	-0.19
120	허도환	21KC	0.29	62	125	105	8	29	6	0	2	41	21	0	0	8	2	0	28	3	10	0	.276	.339	.390	.730	.317	82.1	0.29	0.19
121	최인호	21한LF	0.27	49	164	136	17	28	6	0	4	46	23	2	1	24	2	0	43	1	0	2	.206	.329	.338	.668	.321	87.7	0.27	-0.76
122	이영빈	21L1B	0.27	72	169	148	21	36	9	0	2	51	16	6	3	15	3	0	51	1	2	1	.243	.323	.345	.668	.316	86.6	0.27	0.22
123	신본기	21K2B	0.26	96	205	173	25	41	8	0	1	52	19	1	2	22	4	0	44	6	5	1	.237	.335	.301	.636	.305	74.7	0.26	-0.52
124	이진영	21KCF	0.26	17	47	40	8	8	2	1	2	18	5	1	0	3	4	0	22	0	0	0	.200	.319	.450	.769	.353	108.2	0.26	0.00
125	정현	21SN2B	0.25	68	149	117	14	26	5	1	0	33	7	0	1	17	7	0	24	7	8	0	.222	.355	.282	.637	.304	76.1	0.25	-0.67
126	이재원	21LRF	0.25	62	171	154	22	38	6	0	5	59	17	5	1	14	2	0	48	2	0	1	.247	.316	.383	.699	.327	96.4	0.25	-0.60
127	박세혁	21두C	0.24	96	270	237	25	52	12	0	0	64	30	4	2	22	5	0	43	6	3	3	.219	.296	.270	.566	.275	57.8	0.24	-1.05
128	최항	21S2B	0.22	34	79	69	5	19	2	1	0	23	7	1	0	6	2	1	16	4	1	1	.275	.346	.333	.680	.319	86.6	0.22	-0.25
129	신용수	21롯CF	0.21	71	136	119	23	31	5	2	1	43	6	3	1	11	3	0	20	2	2	1	.261	.336	.361	.697	.327	88.6	0.21	-0.63
130	유민상	21K1B	0.21	24	74	60	7	14	2	0	1	19	6	0	0	8	6	0	18	1	0	0	.233	.378	.317	.695	.348	104.1	0.21	-0.18
131	최형우	21KDH	0.20	104	446	373	52	87	15	1	12	140	55	0	0	67	4	10	67	9	0	2	.233	.354	.375	.730	.339	99.8	0.20	1.38
132	강진성	21N1B	0.19	124	462	406	49	101	20	0	7	142	38	9	3	36	14	2	68	12	4	2	.249	.330	.350	.679	.321	86.9	0.19	-1.32
133	강한울	21삼3B	0.19	124	258	223	25	58	5	0	0	63	27	2	2	29	0	0	58	5	3	3	.260	.341	.283	.624	.305	77.6	0.19	-0.26
134	천성호	21K2B	0.19	41	47	42	13	12	1	0	0	13	4	1	0	3	2	0	9	0	0	0	.286	.362	.310	.671	.332	92.1	0.19	0.25
135	최정민	21KCF	0.18	39	19	15	5	5	0	0	0	5	1	2	3	3	1	0	7	1	0	0	.333	.474	.333	.807	.409	143.1	0.18	-0.23
136	손성빈	21롯C	0.17	20	22	19	4	6	0	0	0	6	0	0	0	3	0	0	6	0	0	0	.316	.409	.316	.725	.362	113.2	0.17	-0.12
137	한석현	21LLF	0.16	16	26	21	5	6	2	1	0	10	1	2	0	3	1	0	7	1	0	1	.286	.385	.476	.861	.391	133.6	0.16	-0.15
138	김민수	21롯2B	0.15	83	224	199	19	48	11	1	3	70	25	0	0	18	3	0	62	4	3	1	.241	.312	.352	.664	.311	77.8	0.15	-1.37
139	윤형준	21N1B	0.15	51	81	74	10	22	0	0	5	37	10	0	1	3	0	0	17	2	3	1	.297	.321	.500	.821	.355	107.4	0.15	-0.59
140	남태혁	21S1B	0.15	12	22	20	2	6	1	0	1	10	4	0	0	1	1	0	7	1	0	0	.300	.364	.500	.864	.396	133.8	0.15	-0.02
141	전민수	21N	0.15	71	109	98	12	25	3	0	3	37	16	0	0	11	0	1	23	2	0	0	.255	.330	.378	.708	.331	92.6	0.15	0.43
142	이정훈	21KDH	0.14	41	151	129	14	32	6	0	2	44	14	0	0	19	3	0	33	3	0	0	.248	.358	.341	.699	.340	98.9	0.14	-0.52
143	이병규	21롯	0.14	29	43	34	4	8	0	0	0	8	4	0	0	8	1	0	14	2	0	0	.235	.395	.235	.631	.333	94.4	0.14	-0.01
144	장두성	21롯CF	0.13	43	41	36	12	8	2	1	0	12	4	4	2	5	0	0	12	0	0	0	.222	.317	.333	.650	.312	78.4	0.13	-0.17
145	황대인	21K1B	0.11	86	308	282	30	67	10	1	13	118	45	0	0	18	2	0	62	8	1	5	.238	.283	.418	.702	.317	85.1	0.11	0.01
146	이상호	21L2B	0.11	45	68	65	5	20	2	0	0	22	12	2	1	1	0	0	10	2	2	0	.308	.318	.338	.657	.303	75.4	0.11	0.01
147	박경수	21K2B	0.10	118	280	239	24	46	10	0	9	83	33	0	1	34	3	2	76	7	4	0	.192	.301	.347	.648	.301	72.4	0.10	-0.95
148	정범모	21NC	0.10	19	23	19	2	4	1	0	1	8	5	0	0	2	1	0	4	2	1	0	.211	.318	.421	.739	.328	89.6	0.10	-0.14
149	박지훈	21두1B	0.10	34	14	12	6	4	1	0	0	5	2	3	1	1	1	0	3	0	0	0	.333	.429	.417	.845	.408	146.4	0.10	0.23
150	김주성	21L3B	0.08	3	7	6	1	1	0	0	1	4	1	0	0	1	0	0	3	0	0	0	.167	.286	.667	.952	.399	160.4	0.08	-0.29
